,名称,图画信息,图画标签,图片信息
384,临溪水阁图,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 46x40cm 收藏地点： 故宫博物院",中国山水画 文人画 山 河流 亭阁 树木 人物,绢本，设色，41.1*33.8cm，故宫博物院藏。此幅既是一幅山水，又是一幅界画，远处山峰高耸，云蒸霞蔚；山泉倾泻而下，岸边松柏苍翠，数座亭台临水而建，亭中两位好友对坐观瀑。整幅画面将美丽的风景与考究的建筑融为一体，清爽雅致。
385,静听泉声图,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨",中国山水画 山石 树林 人物,
386,辋川十景图,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 28×428cm 收藏地点： 吉林省博物馆",中国山水画 青绿山水 山水 园林 屋舍 花木杂树,《辋川十景图》是中国明代画家仇英的国画作品。该画为长卷。《仇英辋川十景图卷》名为写唐代王维隐居蓝田别墅的诗意，实际上正是明代的园林生活为粉本。屋舍界画的工整，花木杂树的精微，青绿设色的细丽，称得上穷工极艳。
387,人物故事图-南华秋水,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 历史绘画,山水画 材质： 绢画,水墨 尺寸： 41.1×33.8cm 收藏地点： 故宫博物院",中国文人画 历史故事 青绿山水 树林 水流 官人 女子,绢本，设色，41.1*33.8cm，故宫博物馆藏。本图取自庄子的《秋水篇》，为河神和海神对话内容。图绘远处群山延绵，山上绿树成林，山脚处水流湍急；一官人伏于岩石上，紧盯着河面，作深思状，旁边一女子眉清目秀，身材修长。此篇册页景物众多，气势磅礴，意在表达天地万物间的相辅相成的原理。
388,扇面画选1（兰亭图扇面）,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨 尺寸： 21.5×61.4cm 收藏地点： 故宫博物院",中国扇面画 山水画 文人画 山涧溪流 兰亭 文人高士 仆童 仙鹤 奇石松柳,画面中山涧溪流缓缓而下，蜿蜒成“曲水”。兰亭近溪旁。这里视野开阔，亭内一文人高士临亭边而坐，或许凝望远方，正在观赏优雅的景色；或许正在等待前方一仆童抱琴而来，然后抚琴一曲……给人留下无限的遐想。画面中部还有两孩童在溪边嬉戏，一只仙鹤正低头饮水，溪边奇石伫立、松柳掩映，形成了人与自然和谐相处、景色娴雅幽淡的佳境。
389,渔笛图,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 113x60cm",中国山水画 山 湖 凉亭 人物 桌 书 船,绢本，水墨，113x60cm，美国纳尔逊艾金斯艺术博物馆藏。图上一处波澜不惊的水域，四周群山环抱的幽静之地，有凉厅依山而建，一长者很随意坐于矮桌上，桌上有二本书，神态中若有所思；远处一位头戴竹笠，吹着笛子悠闲的人坐于船头钓着鱼儿，享受着安然、静谧、自由自在的桃源生活。
390,虎阜春晴图,"创作者： 谢时臣 所属时期： 明代 题材： 山水画 材质： 淡彩,纸本 尺寸： 162.4×39.2cm 收藏地点： 辽宁省博物馆",树 寺庙 山 船 塔,纸本、淡设色，162.4*39.2cm，辽宁博物馆藏。图绘江南春日里山高水清、亭台楼阁、万物复苏之景色。远处高山在云雾中只现轮廓；中间亭台楼宇数不胜数，三五小友在此小聚，侃侃而谈；近处人们川流不息，各自忙碌。谢时臣，字思忠，明代画家，师法吴镇、沈周，又自成风格。
391,渭滨垂钓图,"创作者： 戴进 风格流派： 浙江画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 139.6×75.4cm 收藏地点： 台北故宫博物院",中国山水画 山水 树木 人物,绢本，设色，139.6×75.4cm，台北故宫博物院藏。图绘周文王拜访在渭水边隐居垂钓的姜太公，邀请他入朝辅政的故事。图上山峰高耸，树木成荫，湖面平静，二位主人公拱手相谈，老者白发苍苍，面色严肃，似在思索。画家以浓墨勾画石块、树木，山头，更显此次两位会面的凝重。
392,春游晚归图,"创作者： 戴进 风格流派： 浙江画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 167.9x83.1cm 收藏地点： 台北故宫博物院",中国山水画 山水 桃花 树木 庭院 人物 灯笼 门 桥,绢本，设色，167.9x83.1cm，台北故宫博物院藏。图绘幕色已至，乡间小道上人们行色匆匆；近处可见桃花盛开，树木绿叶如盖；一位士人紧叩庭院大门，院内一人挑灯应声而来；远处群山披绿，山腰笼罩在夜色中。画面近处内容丰富，描绘制细致，中间较空，有着马远、夏圭一派的风格。
393,溪堂诗意图轴,"创作者： 戴进 风格流派： 浙江画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 194x104cm 收藏地点： 辽宁省博物馆",中国山水画 山水 童子 琴 老者 石凳 书 亭台 瀑布,绢本，设色 ，194x104cm，辽宁省博物馆藏。图绘群山环绕中，泉水汇于山涧，桥上一童子置琴而过，对面草堂内一老者坐于凳上手执诗文认真观看；远处山峰险峻，树木葱郁，几座亭台隐约显现。本幅图采用典型的对角线构图，以斧劈皴勾画石头的轮廓，以焦墨中锋画出树木虬劲枝干，层次感突出。
394,山雨欲来图轴,"创作者： 张路 风格流派： 浙江画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 147x105cm 收藏地点： 台北故宫博物院",中国山水画 黑云 山 树木 小溪 渔夫 渔网,绢本，设色，147*105cm，台北故宫博物馆藏。图绘狂风暴雨到来之前时的场景。图上风雨到来之前，黑云压顶，远山朦胧；一渔夫收网而归，步伐匆匆；此时树叶、小草随狂风摆动，小溪涓涓流水，迎接着即将到来的雨水。此画多用粗笔湿墨，以粗犷的笔触营造出山雨欲来前的气势。
395,百花图卷,创作者： 孙克弘 所属时期： 明代 题材： 花卉画,,图卷中描绘的是四季花儿盛开图，代表的有梅花、山茶、芍药、兰花、月季、菊花、桂花等等，画家用笔细致，花朵形象逼真，虽在纸上，但似能闻到阵阵花香，让观者看画似看景！
396,临禇摹兰亭,创作者： 王铎 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨 尺寸： 44X144cm,中国书法 行书,
397,三潭诗卷纸本,"创作者： 王铎 所属时期： 明代 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 21x195cm 收藏地点： 辽宁省博物馆",中国书法 隶书,纸本，大隶，21x195cm，辽宁博物馆藏。此诗为王铎自作七律诗一首，书于崇祯十七年。此篇诗作以大隶书写，字体混厚、圆润，竖笔皆以撇书之，形成一种韵律美；每个字笔划粗细相当，体现大隶的字型温婉，波澜不惊之特色。
398,草书临古帖卷,创作者： 王铎 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨 尺寸： 28X233cm,中国书法 草书,
399,草书册,"创作者： 王铎 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 26x426cm",中国书法 草书,
400,草书赠郑公度草书诗卷,创作者： 王铎 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 纸本 尺寸： 28.3X478cm 收藏地点： 台北故宫博物院,中国书法 草书,
401,行书札,"创作者： 王铎 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 39x114cm 收藏地点： 故宫博物院",中国书法 行书,
402,草书轴,"创作者： 王铎 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 绢画,水墨 尺寸： 155X51cm",中国书法 草书,行书，绢本，155X51cm，上海朵云轩藏。内容：前辈孟宗伯词晔鸾龙品标圭璧后进领袖吾师韩象云数为予称之 今嗣发己丑谦抑好古能世家隻寻萧寺作一序以阐宗伯公经济以见山仰前辈愧不充及也 己丑六月 挥汗题 洪洞王。 王铎，字觉斯，明末清初时的著名书法家，有“神笔王铎”之誉。
403,行草书金山寺诗立轴,"创作者： 王铎 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 绢画,水墨 尺寸： 57.3x274.6cm",中国书法 行草,
404,狩猎图卷,创作者： 佚名（传仇英) 所属时期： 明代 题材： 人物画 材质： 绢画,弓箭 狩猎 城楼 老虎 马车 鹿,
405,东坡寒夜赋诗图卷,创作者： 佚名（仇英款） 所属时期： 明代 题材： 人物画 材质： 绢画 尺寸： 31×106cm,赋诗图 苏东坡 苏轼 文人 书童 琵琶 书本 画屏 水壶,设色绢本，画心：31×106cm，卷首有“东坡寒夜赋诗图”“十洲真迹无上”等字。画面上苏东坡手执书卷，似正在思量诗句，旁边妇人手执琵琶似在听东坡吟诗，真所谓“红袖添香夜读书”。拐角书童正在扇火烧水，似也被东坡的诗句吸引，正扭头向二人张望。卷尾有文征明、许印、谭延闿等五人题跋。
406,扇面画选3,创作者： 仇英 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 41x55cm,扇面山水画 扇面画 青绿山水 山 树,
407,扇面画选4,创作者： 仇英 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 41x55cm,扇面人物画 松树 文人 山石,
408,扇面画选7,创作者： 仇英 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 41x55cm,扇面画 山 树,
409,十画罗汉图册页,"创作者： 宋旭 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 绢画,水墨 尺寸： 28.6 x 29.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 树木 山石,
410,十画罗汉图册页宾头卢尊者,"创作者： 宋旭 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 绢画,水墨 尺寸： 28.6 x 29.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 柳树 木杖,
411,十画罗汉图册页戍博迦尊者,"创作者： 宋旭 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 绢画,水墨 尺寸： 28.6 x 29.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 草坐坛,
412,十画罗汉图册页伐阇罗弗多罗尊者,"创作者： 宋旭 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 绢画,水墨 尺寸： 28.6 x 29.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 山洞,
413,十画罗汉图册页因竭陀尊者,"创作者： 宋旭 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 绢画,水墨 尺寸： 28.6 x 29.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 石桌 树木 花瓶 香炉 书,
414,五星二十八宿神形图卷,"创作者： 佚名（传仇英) 所属时期： 明代 材质： 水墨,纸本 尺寸： 19.2 x402cm 收藏地点： 大都会艺术博物馆",星象 神兽 神仙,纸本，水墨设色，19.2 x402厘米，美国大都会艺术博物馆藏。在古代人们以日、月、五星运行而划分的二十八个星区，用来说明日、月、五星运行所到的位置。画面上五星二十八宿神共33人，他们驾驭各种神兽展示他们的神力，卷尾有火红的五山变形图，并有“十父”印签。
415,十画罗汉图册页半托迦尊者,"创作者： 宋旭 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 绢画,水墨 尺寸： 28.6 x 29.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 树木 河流 扇子,
416,十画罗汉图册页宾度罗跋离阇尊者,"创作者： 宋旭 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 绢画,水墨 尺寸： 28.6 x 29.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 侍童 树木 山石 书,
417,十画罗汉图册页罗怙罗尊者,"创作者： 宋旭 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 绢画,水墨 尺寸： 28.6 x 29.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 松树,
418,十画罗汉图册页迦诺迦伐蹉尊者,"创作者： 宋旭 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 水墨,纸本 尺寸： 28.6 x 29.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 湖石 树木,
419,达摩祖图卷,创作者： 戴进 所属时期： 明代 题材： 宗教绘画 材质： 绢画 尺寸： 240x33.8cm 收藏地点： 辽宁省博物馆,山 松树 达摩 慧能 山洞,绢本，设色，原画240x33.8cm，辽宁省博物馆藏。此幅画又称《达摩六代祖师图》，描绘的是禅宗自菩提达摩到六代慧能祖师的形象。图上不同时期的祖师在山洞里、深山里等静谧、清幽之地打座念佛的场景，诠释“佛在心中”的禅悟。卷后有唐寅、祝允明等大家题款。
420,行楷洛神赋卷,"创作者： 祝允明 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 绢画,水墨 尺寸： 20.1X161cm",中国书法 行楷,绢本，行楷，20.1X161cm，上海朵云轩藏。《洛神赋》为曹植所写，此篇行楷为祝允明约40岁时所书，书写变化多端，结体圆润，行楷交接，收放自如。祝公书写时心定神聚，下笔沉着，字字淳厚典雅，一气呵成。
421,草书滕王阁序,"创作者： 祝允明 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 22x541cm",中国书法 草书,
422,梅花水仙图轴,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 72.8x35cm",中国花鸟画 水仙 梅花,
423,牡丹花卉图,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 54.8x30.8cm 收藏地点： 故宫博物院",中国花鸟画 牡丹,纸本，墨笔，54.8cm*30.8，北京故宫博物馆藏。画家用浓淡墨绘画了花和绿叶，简单的粗线条勾勒花瓣的层次，一枝独秀，雍容华贵！陈淳，字道复，明画家，擅写意花卉，淡墨浅色，风格疏爽，后人把他与徐渭并称“青藤白阳”，为明代中期水墨写意花卉画创出新格调的代表人物。
